"gbd_condition","ontology_id","channels","channel_details"
"Alcohol use disorders","OBA:1000840","embedding","sim=0.9253 rank=9 label='alcohol consumption quality'"
"Alcoholic cardiomyopathy","EFO:0001425","embedding","sim=0.9589 rank=5 label='ischemic cardiomyopathy'"
"Alcoholic cardiomyopathy","EFO:0009094","embedding","sim=0.9543 rank=7 label='idiopathic dilated cardiomyopathy'"
"Alcoholic cardiomyopathy","EFO:0009881","embedding","sim=0.9645 rank=3 label='nonischemic cardiomyopathy'"
"Alcoholic cardiomyopathy","MONDO:0004496","embedding","sim=0.9027 rank=10 label='myocarditis'"
"Alcoholic cardiomyopathy","MONDO:0004994","embedding","sim=0.9757 rank=1 label='cardiomyopathy'"
"Alcoholic cardiomyopathy","MONDO:0005021","embedding","sim=0.9656 rank=2 label='dilated cardiomyopathy'"
"Alcoholic cardiomyopathy","MONDO:0005045","embedding","sim=0.9552 rank=6 label='hypertrophic cardiomyopathy'"
"Alcoholic cardiomyopathy","MONDO:0005336","",""
"Alcoholic cardiomyopathy","MONDO:0005491","embedding","sim=0.9607 rank=4 label='Chagas cardiomyopathy'"
"Alcoholic cardiomyopathy","MONDO:0018920","embedding","sim=0.9476 rank=8 label='peripartum cardiomyopathy'"
"Alcoholic cardiomyopathy","MONDO:0019018","embedding","sim=0.9083 rank=9 label='Tako-tsubo cardiomyopathy'"
"Alopecia areata","EFO:0009855","embedding","sim=0.9005 rank=6 label='frontal fibrosing alopecia'"
"Alopecia areata","EFO:1002028","embedding","sim=0.9177 rank=4 label='cicatricial alopecia'"
"Alopecia areata","HP:0002293","embedding","sim=0.9333 rank=3 label='Alopecia of scalp'"
"Alopecia areata","MONDO:0004795","embedding","sim=0.8577 rank=9 label='otitis externa'"
"Alopecia areata","MONDO:0004907","embedding","sim=0.938 rank=2 label='alopecia'"
"Alopecia areata","MONDO:0005339","embedding","sim=0.9153 rank=5 label='androgenetic alopecia'"
"Alopecia areata","MONDO:0005340","embedding","sim=1 rank=1 label='alopecia areata'"
"Alopecia areata","MONDO:0005483","embedding","sim=0.8733 rank=7 label='chemotherapy-induced alopecia'"
"Alopecia areata","MONDO:0015614","embedding","sim=0.8601 rank=8 label='dermatitis herpetiformis'"
"Alopecia areata","MONDO:0019170","embedding","sim=0.853 rank=10 label='polyarteritis nodosa'"
"Alzheimer's disease and other dementias","EFO:0006514","embedding","sim=0.9317 rank=2 label='Alzheimer's disease biomarker measurement'"
"Alzheimer's disease and other dementias","EFO:0006799","embedding","sim=0.896 rank=7 label='Lewy body dementia measurement'"
"Alzheimer's disease and other dementias","EFO:0006801","embedding","sim=0.9346 rank=1 label='Alzheimer's disease neuropathologic change'"
"Alzheimer's disease and other dementias","EFO:0009268","embedding","sim=0.923 rank=3 label='family history of Alzheimer’s disease'"
"Alzheimer's disease and other dementias","EFO:0022957","embedding","sim=0.9008 rank=5 label='early-onset Alzheimers disease'"
"Alzheimer's disease and other dementias","EFO:0600011","embedding","sim=0.8847 rank=9 label='Parkinson's disease symptom measurement'"
"Alzheimer's disease and other dementias","EFO:0700066","embedding","sim=0.891 rank=8 label='sickle cell disease and related diseases'"
"Alzheimer's disease and other dementias","EFO:1001870","embedding","sim=0.9076 rank=4 label='late-onset Alzheimers disease'"
"Alzheimer's disease and other dementias","MONDO:0000001","",""
"Alzheimer's disease and other dementias","MONDO:0001627","",""
"Alzheimer's disease and other dementias","MONDO:0004975","embedding","sim=0.8825 rank=10 label='Alzheimer disease'"
"Alzheimer's disease and other dementias","OBA:2001000","embedding","sim=0.8981 rank=6 label='age of onset of Alzheimer disease'"
"Amphetamine use disorders","EFO:0007792","embedding","sim=0.9128 rank=3 label='antipsychotic drug use measurement'"
"Amphetamine use disorders","EFO:0009458","embedding","sim=0.9009 rank=7 label='alcohol use disorder measurement'"
"Amphetamine use disorders","EFO:0009940","embedding","sim=0.9029 rank=5 label='Antidepressant use measurement'"
"Amphetamine use disorders","EFO:0009943","embedding","sim=0.9094 rank=4 label='Antihistamine use measurement'"
"Amphetamine use disorders","EFO:0010445","embedding","sim=0.913 rank=2 label='cocaine use disorder'"
"Amphetamine use disorders","EFO:0010702","embedding","sim=0.9021 rank=6 label='opioid use disorder'"
"Amphetamine use disorders","EFO:0802409","embedding","sim=0.8941 rank=9 label='cocaine- and amphetamine-regulated transcript protein measurement'"
"Amphetamine use disorders","MONDO:0005419","embedding","sim=0.9339 rank=1 label='methamphetamine dependence'"
"Amphetamine use disorders","MONDO:0005432","embedding","sim=0.8935 rank=10 label='alcohol and nicotine codependence'"
"Amphetamine use disorders","MONDO:0005465","embedding","sim=0.8992 rank=8 label='methamphetamine-induced psychosis'"
"Anorexia nervosa","EFO:0004997","embedding","sim=0.8477 rank=4 label='type 2 diabetes nephropathy'"
"Anorexia nervosa","HP:0002039","",""
"Anorexia nervosa","MONDO:0005351","embedding","sim=1 rank=1 label='anorexia nervosa'"
"Anorexia nervosa","MONDO:0005377","embedding","sim=0.8436 rank=8 label='nephrotic syndrome'"
"Anorexia nervosa","MONDO:0005452","embedding","sim=0.9613 rank=2 label='bulimia nervosa'"
"Anorexia nervosa","MONDO:0005487","embedding","sim=0.8473 rank=5 label='schizoaffective disorder'"
"Anorexia nervosa","MONDO:0005556","embedding","sim=0.8464 rank=6 label='lupus nephritis'"
"Anorexia nervosa","MONDO:0009688","embedding","sim=0.8431 rank=9 label='myasthenia gravis'"
"Anorexia nervosa","MONDO:0018324","embedding","sim=0.8439 rank=7 label='adult-onset myasthenia gravis'"
"Anorexia nervosa","MONDO:0041086","embedding","sim=0.8404 rank=10 label='mixed anxiety and depressive disorder'"
"Anorexia nervosa","OBA:2050099","embedding","sim=0.9394 rank=3 label='age of onset of anorexia nervosa'"
"Anxiety disorders","EFO:0007795","embedding","sim=0.9276 rank=8 label='anxiety disorder measurement'"
"Anxiety disorders","HP:0000739","",""
"Anxiety disorders","MONDO:0002025","embedding","sim=0.9321 rank=6 label='psychiatric disorder'"
"Anxiety disorders","MONDO:0002039","embedding","sim=0.9328 rank=4 label='cognitive disorder'"
"Anxiety disorders","MONDO:0005084","embedding","sim=0.9302 rank=7 label='mental disorder'"
"Anxiety disorders","MONDO:0005093","embedding","sim=0.9216 rank=10 label='skin disorder'"
"Anxiety disorders","MONDO:0005371","embedding","sim=0.9321 rank=5 label='mood disorder'"
"Anxiety disorders","MONDO:0005383","embedding","sim=0.9331 rank=2 label='panic disorder'"
"Anxiety disorders","MONDO:0005618","embedding","sim=0.9663 rank=1 label='anxiety disorder'"
"Anxiety disorders","MONDO:0024575","embedding","sim=0.924 rank=9 label='pregnancy disorder'"
"Anxiety disorders","MONDO:0100081","embedding","sim=0.933 rank=3 label='sleep disorder'"
"Aortic aneurysm","EFO:0000266","embedding","sim=0.9297 rank=9 label='aortic stenosis'"
"Aortic aneurysm","EFO:0009659","embedding","sim=0.9441 rank=7 label='aneurysm'"
"Aortic aneurysm","HP:0002647","embedding","sim=0.9342 rank=8 label='Aortic dissection'"
"Aortic aneurysm","MONDO:0005160","embedding","sim=1 rank=1 label='aortic aneurysm'"
"Aortic aneurysm","MONDO:0005291","embedding","sim=0.9509 rank=5 label='brain aneurysm'"
"Aortic aneurysm","MONDO:0005350","embedding","sim=0.9831 rank=2 label='abdominal aortic aneurysm'"
"Aortic aneurysm","MONDO:0005396","embedding","sim=0.9569 rank=3 label='thoracic aortic aneurysm'"
"Aortic aneurysm","MONDO:0006714","embedding","sim=0.9551 rank=4 label='coronary aneurysm'"
"Aortic aneurysm","MONDO:0006779","embedding","sim=0.9471 rank=6 label='heart aneurysm'"
"Aortic aneurysm","MONDO:0042981","embedding","sim=0.9146 rank=10 label='aortic valve stenosis'"
"Appendicitis","EFO:0600086","embedding","sim=0.9039 rank=2 label='appendectomy'"
"Appendicitis","MONDO:0000916","embedding","sim=0.8844 rank=4 label='intestinal infectious disease'"
"Appendicitis","MONDO:0002269","embedding","sim=0.8781 rank=8 label='gastroenteritis'"
"Appendicitis","MONDO:0004571","embedding","sim=0.8774 rank=9 label='intestinal impaction'"
"Appendicitis","MONDO:0004880","embedding","sim=0.8773 rank=10 label='bowel dysfunction'"
"Appendicitis","MONDO:0005292","embedding","sim=0.8809 rank=5 label='colitis'"
"Appendicitis","MONDO:0005534","embedding","sim=0.8791 rank=7 label='ileocolitis'"
"Appendicitis","MONDO:0005649","embedding","sim=1 rank=1 label='appendicitis'"
"Appendicitis","MONDO:0006669","embedding","sim=0.8805 rank=6 label='bacterial endocarditis'"
"Appendicitis","MONDO:0056798","embedding","sim=0.8991 rank=3 label='disorder of appendix'"
"Asbestosis","EFO:0004806","embedding","sim=0.8947 rank=2 label='asbestos exposure measurement'"
"Asbestosis","EFO:0006890","embedding","sim=0.8697 rank=10 label='fibrosis'"
"Asbestosis","HP:0000520","embedding","sim=0.8749 rank=7 label='Proptosis'"
"Asbestosis","HP:0012743","embedding","sim=0.8701 rank=9 label='Abdominal obesity'"
"Asbestosis","MONDO:0000964","embedding","sim=0.8772 rank=5 label='skin lipoma'"
"Asbestosis","MONDO:0004979","embedding","sim=0.8787 rank=3 label='asthma'"
"Asbestosis","MONDO:0005139","embedding","sim=0.8744 rank=8 label='morbid obesity'"
"Asbestosis","MONDO:0005349","embedding","sim=0.9055 rank=1 label='otosclerosis'"
"Asbestosis","MONDO:0006522","embedding","sim=0.8784 rank=4 label='acquired keratosis'"
"Asbestosis","MONDO:0011122","embedding","sim=0.8755 rank=6 label='obesity disorder'"
"Ascariasis","MONDO:0000254","embedding","sim=0.8841 rank=10 label='cutaneous mycosis'"
"Ascariasis","MONDO:0000989","embedding","sim=0.888 rank=9 label='mumps infectious disease'"
"Ascariasis","MONDO:0002040","embedding","sim=0.907 rank=3 label='dermatomycosis'"
"Ascariasis","MONDO:0004664","embedding","sim=0.898 rank=5 label='helminthiasis'"
"Ascariasis","MONDO:0005631","embedding","sim=0.8974 rank=6 label='actinomycosis'"
"Ascariasis","MONDO:0005644","embedding","sim=0.9359 rank=1 label='amebiasis'"
"Ascariasis","MONDO:0005657","embedding","sim=0.8945 rank=7 label='aspergillosis'"
"Ascariasis","MONDO:0005761","embedding","sim=0.9169 rank=2 label='filarial elephantiasis'"
"Ascariasis","MONDO:0021697","embedding","sim=0.8932 rank=8 label='chlamydia infectious disease'"
"Ascariasis","MONDO:0024647","embedding","sim=0.9035 rank=4 label='urolithiasis'"
"Asthma","EFO:0007614","",""
"Asthma","EFO:0009759","",""
"Asthma","EFO:0010049","embedding","sim=0.9306 rank=6 label='asthma symptoms measurement'"
"Asthma","EFO:0010638","embedding","sim=0.9559 rank=2 label='atopic asthma'"
"Asthma","EFO:1002011","embedding","sim=0.9445 rank=4 label='adult onset asthma'"
"Asthma","HP:0012042","embedding","sim=0.9108 rank=7 label='Aspirin-induced asthma'"
"Asthma","MONDO:0004766","",""
"Asthma","MONDO:0004784","embedding","sim=0.9459 rank=3 label='allergic asthma'"
"Asthma","MONDO:0004979","embedding","sim=1 rank=1 label='asthma'"
"Asthma","MONDO:0005271","embedding","sim=0.8888 rank=9 label='allergic disease'"
"Asthma","MONDO:0005405","embedding","sim=0.94 rank=5 label='childhood onset asthma'"
"Asthma","MONDO:0010481","embedding","sim=0.889 rank=8 label='angioedema'"
"Asthma","MONDO:0956975","embedding","sim=0.8869 rank=10 label='T2-high asthma'"
"Asthma","OBA:2001001","",""
"Asthma","OBA:2001015","",""
"Atopic dermatitis","EFO:1000651","",""
"Atopic dermatitis","HP:0000964","embedding","sim=0.9375 rank=5 label='Eczematoid dermatitis'"
"Atopic dermatitis","MONDO:0002406","embedding","sim=0.946 rank=2 label='dermatitis'"
"Atopic dermatitis","MONDO:0004980","embedding","sim=0.9405 rank=4 label='atopic eczema'"
"Atopic dermatitis","MONDO:0005480","embedding","sim=0.9609 rank=1 label='contact dermatitis'"
"Atopic dermatitis","MONDO:0005481","embedding","sim=0.9127 rank=10 label='contact dermatitis due to nickel'"
"Atopic dermatitis","MONDO:0005642","embedding","sim=0.9222 rank=7 label='atopic conjunctivitis'"
"Atopic dermatitis","MONDO:0006525","embedding","sim=0.9456 rank=3 label='allergic contact dermatitis'"
"Atopic dermatitis","MONDO:0006555","embedding","sim=0.9291 rank=6 label='granulomatous dermatitis'"
"Atopic dermatitis","MONDO:0015614","embedding","sim=0.9169 rank=8 label='dermatitis herpetiformis'"
"Atopic dermatitis","MONDO:0016367","embedding","sim=0.9151 rank=9 label='dermatomyositis'"
"Atrial fibrillation and flutter","EFO:0009952","embedding","sim=0.9573 rank=2 label='post-operative atrial fibrillation'"
"Atrial fibrillation and flutter","HP:0004308","embedding","sim=0.9001 rank=6 label='Ventricular arrhythmia'"
"Atrial fibrillation and flutter","HP:0004755","embedding","sim=0.8982 rank=9 label='Supraventricular tachycardia'"
"Atrial fibrillation and flutter","HP:0004757","embedding","sim=0.95 rank=3 label='Paroxysmal atrial fibrillation'"
"Atrial fibrillation and flutter","HP:0011705","embedding","sim=0.8985 rank=8 label='First degree atrioventricular block'"
"Atrial fibrillation and flutter","HP:0011706","embedding","sim=0.8949 rank=10 label='Second degree atrioventricular block'"
"Atrial fibrillation and flutter","MONDO:0000190","embedding","sim=0.9494 rank=4 label='ventricular fibrillation'"
"Atrial fibrillation and flutter","MONDO:0000468","embedding","sim=0.899 rank=7 label='third-degree atrioventricular block'"
"Atrial fibrillation and flutter","MONDO:0004981","embedding","sim=0.9723 rank=1 label='atrial fibrillation'"
"Atrial fibrillation and flutter","MONDO:0005310","",""
"Atrial fibrillation and flutter","MONDO:0005477","embedding","sim=0.9027 rank=5 label='ventricular tachycardia'"
"Attention-deficit/hyperactivity disorder","EFO:0007802","embedding","sim=0.8662 rank=4 label='obsessive-compulsive symptom measurement'"
"Attention-deficit/hyperactivity disorder","EFO:0007948","embedding","sim=0.8396 rank=9 label='HIV-associated neurocognitive disorder'"
"Attention-deficit/hyperactivity disorder","EFO:0007982","embedding","sim=0.8549 rank=5 label='mild neurocognitive disorder'"
